City,Counties,State
St. Paul,"Wise, Russell",Virginia
Auburn,"King, Pierce",Washington
Bothell,"King, Snohomish",Washington
Coulee Dam,"Douglas, Grant, Okanogan",Washington
Milton,"King, Pierce",Washington
Pacific,"King, Pierce",Washington
Woodland,"Clark, Cowlitz[7]",Washington
Huntington,"Cabell, Wayne",West Virginia
Montgomery,"Fayette, Kanawha",West Virginia
Nitro,"Kanawha, Putnam",West Virginia
Paden City,"Tyler, Wetzel",West Virginia
Smithers,"Fayette, Kanawha",West Virginia
Weirton,"Hancock, Brooke",West Virginia
Wheeling,"Ohio, Marshall",West Virginia
Abbotsford,"Clark, Marathon",Wisconsin
Appleton,"Outagamie, Calumet, Winnebago",Wisconsin
Ashland,"Ashland, Bayfield",Wisconsin
Berlin,"Green Lake, Waushara",Wisconsin
Brodhead,"Green, Rock",Wisconsin
Burlington,"Racine, Walworth",Wisconsin
Colby,"Clark, Marathon",Wisconsin
Columbus,"Columbia, Dodge",Wisconsin
Cuba City,"Grant, Lafayette",Wisconsin
Eau Claire,"Eau Claire, Chippewa",Wisconsin
Edgerton,"Rock, Dane",Wisconsin
Hartford,"Washington, Dodge",Wisconsin
Kaukauna,"Calumet, Outagamie",Wisconsin
Kiel,"Manitowoc, Calumet",Wisconsin
Marion,"Waupaca, Shawano",Wisconsin
Marshfield,"Wood, Marathon",Wisconsin
Menasha,"Winnebago, Calumet",Wisconsin
Milwaukee,"Milwaukee, Washington, Waukesha",Wisconsin
New London,"Waupaca, Outagamie",Wisconsin
River Falls,"Pierce, St. Croix",Wisconsin
Stanley,"Chippewa, Clark",Wisconsin
Watertown,"Jefferson, Dodge",Wisconsin
Waupun,"Dodge, Fond du Lac",Wisconsin
Whitewater,"Walworth, Jefferson",Wisconsin
Wisconsin Dells,"Columbia, Sauk, Adams, Juneau",Wisconsin
Frannie,"Big Horn, Park",Wyoming
